rule,support,confidence,lift,antecedents_str,consequents_str
"{season=Winter, wind=Light} → {temp=Low, uhi=Neutral}",0.11996017919362867,0.7067448680351905,3.5854809087946915,"season=Winter, wind=Light","temp=Low, uhi=Neutral"
"{humidity=Moderate, temp=Low} → {precip=None, season=Winter}",0.10627177700348432,0.7517605633802817,3.549440591847206,"humidity=Moderate, temp=Low","precip=None, season=Winter"
"{humidity=Moderate, precip=None, season=Winter} → {solar=Medium, temp=Low}",0.08138377302140368,0.7108695652173913,3.539372878616454,"humidity=Moderate, precip=None, season=Winter","solar=Medium, temp=Low"
"{anomaly=Normal, precip=None, temp=Low} → {season=Winter}",0.10602289696366352,0.8676171079429735,3.510660160840753,"anomaly=Normal, precip=None, temp=Low",season=Winter
"{anomaly=Normal, temp=Low, uhi=Neutral} → {season=Winter}",0.08188153310104529,0.8657894736842104,3.5032649599830386,"anomaly=Normal, temp=Low, uhi=Neutral",season=Winter
"{anomaly=Normal, temp=Low, wind=Light} → {season=Winter}",0.08362369337979095,0.8593350383631714,3.477148221695088,"anomaly=Normal, temp=Low, wind=Light",season=Winter
"{solar=Medium, temp=Low, uhi=Neutral} → {precip=None, season=Winter}",0.09133897461423594,0.7354709418837676,3.4725290769553214,"solar=Medium, temp=Low, uhi=Neutral","precip=None, season=Winter"
"{precip=None, season=Winter, uhi=Neutral} → {temp=Low, wind=Light}",0.10029865604778497,0.7274368231046932,3.4630819374818214,"precip=None, season=Winter, uhi=Neutral","temp=Low, wind=Light"
"{humidity=Moderate, season=Winter} → {solar=Medium, temp=Low}",0.08461921353907417,0.6952965235173825,3.4618357267569304,"humidity=Moderate, season=Winter","solar=Medium, temp=Low"
"{precip=None, season=Winter, wind=Light} → {temp=Low, uhi=Neutral}",0.10029865604778497,0.6807432432432433,3.4535686254436255,"precip=None, season=Winter, wind=Light","temp=Low, uhi=Neutral"
"{humidity=Dry, temp=High} → {season=Summer}",0.08611249377799901,0.8693467336683417,3.4516157864420918,"humidity=Dry, temp=High",season=Summer
"{anomaly=Normal, temp=Low} → {season=Winter}",0.12444001991040318,0.8503401360544218,3.440751930177912,"anomaly=Normal, temp=Low",season=Winter
"{season=Winter, solar=Medium, wind=Light} → {precip=None, temp=Low}",0.10004977600796416,0.8854625550660793,3.437476856285514,"season=Winter, solar=Medium, wind=Light","precip=None, temp=Low"
"{humidity=Moderate, season=Winter, solar=Medium} → {precip=None, temp=Low}",0.08138377302140368,0.8837837837837836,3.4309596553074813,"humidity=Moderate, season=Winter, solar=Medium","precip=None, temp=Low"
"{anomaly=Normal, temp=Low} → {precip=None, season=Winter}",0.10602289696366352,0.7244897959183674,3.420681551116334,"anomaly=Normal, temp=Low","precip=None, season=Winter"
"{season=Monsoon, solar=Medium} → {humidity=VeryHumid}",0.08063713290194126,0.6506024096385542,3.394961664841183,"season=Monsoon, solar=Medium",humidity=VeryHumid
"{humidity=Moderate, season=Winter} → {precip=None, temp=Low}",0.10627177700348432,0.8732106339468303,3.3899133596119464,"humidity=Moderate, season=Winter","precip=None, temp=Low"
"{precip=None, season=Winter, wind=Light} → {solar=Medium, temp=Low}",0.10004977600796416,0.6790540540540542,3.3809655380287356,"precip=None, season=Winter, wind=Light","solar=Medium, temp=Low"
"{season=Winter, uhi=Neutral} → {temp=Low, wind=Light}",0.11996017919362867,0.7098674521354934,3.3794400742658914,"season=Winter, uhi=Neutral","temp=Low, wind=Light"
"{season=Winter, solar=Medium} → {precip=None, temp=Low}",0.141363862618218,0.8698315467075037,3.376795318522464,"season=Winter, solar=Medium","precip=None, temp=Low"
"{precip=None, solar=Medium, temp=Low, uhi=Neutral} → {season=Winter}",0.09133897461423594,0.8321995464852608,3.367349222334117,"precip=None, solar=Medium, temp=Low, uhi=Neutral",season=Winter
"{season=Winter, solar=Medium} → {precip=None, temp=Low, wind=Light}",0.10004977600796416,0.6156202143950995,3.3653905053598776,"season=Winter, solar=Medium","precip=None, temp=Low, wind=Light"
"{anomaly=Normal, season=Winter} → {temp=Low, uhi=Neutral}",0.08188153310104529,0.6579999999999999,3.338186868686868,"anomaly=Normal, season=Winter","temp=Low, uhi=Neutral"
"{anomaly=Normal, season=Winter, uhi=Neutral} → {temp=Low}",0.08188153310104529,1.0,3.3372093023255816,"anomaly=Normal, season=Winter, uhi=Neutral",temp=Low
"{anomaly=Normal, season=Winter, wind=Light} → {temp=Low}",0.08362369337979095,1.0,3.3372093023255816,"anomaly=Normal, season=Winter, wind=Light",temp=Low
"{anomaly=Normal, precip=None, season=Winter} → {temp=Low}",0.10602289696366352,1.0,3.3372093023255816,"anomaly=Normal, precip=None, season=Winter",temp=Low
"{anomaly=Normal, season=Winter} → {temp=Low}",0.12444001991040318,1.0,3.3372093023255816,"anomaly=Normal, season=Winter",temp=Low
"{solar=Medium, temp=Low} → {precip=None, season=Winter}",0.141363862618218,0.7038413878562577,3.3231900075281358,"solar=Medium, temp=Low","precip=None, season=Winter"
"{precip=None, season=Winter} → {solar=Medium, temp=Low}",0.141363862618218,0.6674500587544065,3.3231900075281358,"precip=None, season=Winter","solar=Medium, temp=Low"
"{season=Winter, solar=Medium, uhi=Neutral} → {precip=None, temp=Low}",0.09133897461423594,0.8554778554778555,3.3210724862898777,"season=Winter, solar=Medium, uhi=Neutral","precip=None, temp=Low"
"{precip=None, temp=Low, uhi=Neutral} → {season=Winter}",0.13091090094574415,0.8193146417445483,3.315212719566561,"precip=None, temp=Low, uhi=Neutral",season=Winter
"{anomaly=Normal, season=Winter} → {precip=None, temp=Low}",0.10602289696366352,0.852,3.307571014492754,"anomaly=Normal, season=Winter","precip=None, temp=Low"
"{solar=Medium, temp=Low, wind=Light} → {precip=None, season=Winter}",0.10004977600796416,0.7003484320557491,3.3066980023501764,"solar=Medium, temp=Low, wind=Light","precip=None, season=Winter"
"{precip=None, season=Winter, uhi=Neutral} → {solar=Medium, temp=Low}",0.09133897461423594,0.6624548736462095,3.2983193089349068,"precip=None, season=Winter, uhi=Neutral","solar=Medium, temp=Low"
"{solar=Medium, temp=Low, uhi=Neutral} → {season=Winter}",0.10104529616724739,0.8136272545090181,3.292199706563177,"solar=Medium, temp=Low, uhi=Neutral",season=Winter
"{season=Winter} → {temp=Low, uhi=Neutral}",0.1600298656047785,0.6475327291037261,3.2850839716398625,season=Winter,"temp=Low, uhi=Neutral"
"{temp=Low, uhi=Neutral} → {season=Winter}",0.1600298656047785,0.8118686868686869,3.2850839716398625,"temp=Low, uhi=Neutral",season=Winter
"{precip=None, temp=Low, uhi=Neutral, wind=Light} → {season=Winter}",0.10029865604778497,0.806,3.2613373615307153,"precip=None, temp=Low, uhi=Neutral, wind=Light",season=Winter
"{humidity=Moderate, solar=Medium, temp=Low} → {season=Winter}",0.08461921353907417,0.8056872037914693,3.260071686640608,"humidity=Moderate, solar=Medium, temp=Low",season=Winter
"{humidity=Moderate, precip=None, solar=Medium, temp=Low} → {season=Winter}",0.08138377302140368,0.8034398034398034,3.2509779760535045,"humidity=Moderate, precip=None, solar=Medium, temp=Low",season=Winter
"{temp=Low, uhi=Neutral, wind=Light} → {season=Winter}",0.11996017919362867,0.8006644518272426,3.2397480034661235,"temp=Low, uhi=Neutral, wind=Light",season=Winter
"{season=Winter, wind=Light} → {precip=None, temp=Low}",0.1406172224987556,0.8284457478005864,3.2161304489495235,"season=Winter, wind=Light","precip=None, temp=Low"
"{precip=None, season=Winter, solar=Medium, wind=Light} → {temp=Low}",0.10004977600796416,0.9594272076372315,3.2018094022312265,"precip=None, season=Winter, solar=Medium, wind=Light",temp=Low
"{anomaly=Normal, season=Winter} → {temp=Low, wind=Light}",0.08362369337979095,0.672,3.1991658767772515,"anomaly=Normal, season=Winter","temp=Low, wind=Light"
"{humidity=Moderate, precip=None, temp=Low} → {season=Winter}",0.10627177700348432,0.789279112754159,3.193679229653787,"humidity=Moderate, precip=None, temp=Low",season=Winter
"{humidity=Moderate, temp=Low} → {season=Winter}",0.11149825783972125,0.7887323943661972,3.191467029771783,"humidity=Moderate, temp=Low",season=Winter
"{precip=None, season=Winter, wind=Light} → {temp=Low}",0.1406172224987556,0.954391891891892,3.1850054996857327,"precip=None, season=Winter, wind=Light",temp=Low
"{precip=None, season=Winter, solar=Medium} → {temp=Low, wind=Light}",0.10004977600796416,0.6688851913477537,3.184337320894875,"precip=None, season=Winter, solar=Medium","temp=Low, wind=Light"
"{season=Winter, solar=Medium, wind=Light} → {temp=Low}",0.10776505724240916,0.9537444933920705,3.1828449953898166,"season=Winter, solar=Medium, wind=Light",temp=Low
"{precip=None, season=Winter, solar=Medium, uhi=Neutral} → {temp=Low}",0.09133897461423594,0.9532467532467532,3.1811839323467233,"precip=None, season=Winter, solar=Medium, uhi=Neutral",temp=Low
"{season=Winter, wind=Light} → {temp=Low}",0.16152314584370334,0.9516129032258064,3.1757314328582145,"season=Winter, wind=Light",temp=Low
"{season=Winter, uhi=Neutral, wind=Light} → {temp=Low}",0.11996017919362867,0.9506903353057198,3.1726526306132743,"season=Winter, uhi=Neutral, wind=Light",temp=Low
"{precip=None, season=Winter, uhi=Neutral, wind=Light} → {temp=Low}",0.10029865604778497,0.9504716981132075,3.1719229925405883,"precip=None, season=Winter, uhi=Neutral, wind=Light",temp=Low
"{precip=None, season=Winter, uhi=Neutral} → {temp=Low}",0.13091090094574415,0.9494584837545127,3.168541684157502,"precip=None, season=Winter, uhi=Neutral",temp=Low
"{season=Winter, wind=Light} → {solar=Medium, temp=Low}",0.10776505724240916,0.6348973607038123,3.1611122618437646,"season=Winter, wind=Light","solar=Medium, temp=Low"
"{temp=Low, uhi=Neutral, wind=Light} → {precip=None, season=Winter}",0.10029865604778497,0.669435215946844,3.160741125351844,"temp=Low, uhi=Neutral, wind=Light","precip=None, season=Winter"
"{precip=None, season=Winter} → {temp=Low, wind=Light}",0.1406172224987556,0.6639247943595771,3.1607225399724888,"precip=None, season=Winter","temp=Low, wind=Light"
"{temp=Low, wind=Light} → {precip=None, season=Winter}",0.1406172224987556,0.6694312796208531,3.1607225399724888,"temp=Low, wind=Light","precip=None, season=Winter"
"{season=Winter, uhi=Neutral} → {temp=Low}",0.1600298656047785,0.946980854197349,3.1602733157516183,"season=Winter, uhi=Neutral",temp=Low
"{season=Winter, solar=Medium, uhi=Neutral} → {temp=Low}",0.10104529616724739,0.9463869463869464,3.158291321082019,"season=Winter, solar=Medium, uhi=Neutral",temp=Low
"{season=Winter, solar=Medium} → {temp=Low, wind=Light}",0.10776505724240916,0.663093415007657,3.156764622631239,"season=Winter, solar=Medium","temp=Low, wind=Light"
"{season=Winter, solar=Medium} → {temp=Low, uhi=Neutral}",0.10104529616724739,0.6217457886676876,3.154260831902486,"season=Winter, solar=Medium","temp=Low, uhi=Neutral"
"{precip=None, season=Winter, solar=Medium} → {temp=Low}",0.141363862618218,0.9450915141430948,3.153968192547305,"precip=None, season=Winter, solar=Medium",temp=Low
"{precip=None, season=Winter} → {temp=Low}",0.1998506719761075,0.9435957696827262,3.148976580220261,"precip=None, season=Winter",temp=Low
"{temp=Low} → {precip=None, season=Winter}",0.1998506719761075,0.6669435215946844,3.148976580220261,temp=Low,"precip=None, season=Winter"
{season=Winter} → {temp=Low},0.23270283723245397,0.9415911379657603,3.1422867046066654,season=Winter,temp=Low
{temp=Low} → {season=Winter},0.23270283723245397,0.7765780730897011,3.1422867046066654,temp=Low,season=Winter
"{precip=None, temp=Low} → {season=Winter}",0.1998506719761075,0.7758454106280194,3.139322114706326,"precip=None, temp=Low",season=Winter
"{season=Winter} → {precip=None, temp=Low}",0.1998506719761075,0.808660624370594,3.1393221147063257,season=Winter,"precip=None, temp=Low"
"{temp=Low, uhi=Neutral} → {precip=None, season=Winter}",0.13091090094574415,0.6641414141414141,3.1357464183551143,"temp=Low, uhi=Neutral","precip=None, season=Winter"
"{precip=None, season=Winter} → {temp=Low, uhi=Neutral}",0.13091090094574415,0.618096357226792,3.135746418355114,"precip=None, season=Winter","temp=Low, uhi=Neutral"
"{season=Winter, solar=Medium} → {temp=Low}",0.1525634644101543,0.9387442572741195,3.1327860678799104,"season=Winter, solar=Medium",temp=Low
"{precip=None, season=Summer} → {humidity=Dry}",0.1172224987555998,0.6425648021828104,3.114385253522958,"precip=None, season=Summer",humidity=Dry
"{season=Winter} → {temp=Low, wind=Light}",0.16152314584370334,0.6535750251762337,3.1114507715143445,season=Winter,"temp=Low, wind=Light"
"{temp=Low, wind=Light} → {season=Winter}",0.16152314584370334,0.768957345971564,3.1114507715143445,"temp=Low, wind=Light",season=Winter
"{precip=None, temp=Low, wind=Light} → {season=Winter}",0.1406172224987556,0.7687074829931974,3.1104397448808325,"precip=None, temp=Low, wind=Light",season=Winter
"{humidity=Moderate, precip=None, season=Winter, solar=Medium} → {temp=Low}",0.08138377302140368,0.9316239316239315,3.109024050884516,"humidity=Moderate, precip=None, season=Winter, solar=Medium",temp=Low
"{precip=None, solar=Medium, temp=Low} → {season=Winter}",0.141363862618218,0.766531713900135,3.1016358775938997,"precip=None, solar=Medium, temp=Low",season=Winter
"{precip=None, season=Winter, solar=Medium} → {temp=Low, uhi=Neutral}",0.09133897461423594,0.610648918469218,3.097963831324896,"precip=None, season=Winter, solar=Medium","temp=Low, uhi=Neutral"
"{humidity=Moderate, precip=None, season=Winter} → {temp=Low}",0.10627177700348432,0.9282608695652174,3.0978008088978766,"humidity=Moderate, precip=None, season=Winter",temp=Low
"{precip=None, solar=Medium, temp=Low, wind=Light} → {season=Winter}",0.10004977600796416,0.7628083491461101,3.086569936424038,"precip=None, solar=Medium, temp=Low, wind=Light",season=Winter
"{season=Winter, uhi=Neutral, wind=Light} → {precip=None, temp=Low}",0.10029865604778497,0.7948717948717948,3.0857921466617118,"season=Winter, uhi=Neutral, wind=Light","precip=None, temp=Low"
"{solar=Medium, temp=Low} → {season=Winter}",0.1525634644101543,0.7596034696406444,3.073601954699002,"solar=Medium, temp=Low",season=Winter
"{season=Winter} → {solar=Medium, temp=Low}",0.1525634644101543,0.6173212487411883,3.073601954699002,season=Winter,"solar=Medium, temp=Low"
"{humidity=Moderate, season=Winter, solar=Medium} → {temp=Low}",0.08461921353907417,0.918918918918919,3.066624764299183,"humidity=Moderate, season=Winter, solar=Medium",temp=Low
"{humidity=Moderate, season=Winter} → {temp=Low}",0.11149825783972125,0.9161554192229039,3.057402387406668,"humidity=Moderate, season=Winter",temp=Low
"{solar=Medium, temp=Low, wind=Light} → {season=Winter}",0.10776505724240916,0.7543554006968641,3.0523665659617323,"solar=Medium, temp=Low, wind=Light",season=Winter
"{precip=None, temp=High} → {humidity=Dry}",0.08013937282229965,0.62890625,3.0481849366706877,"precip=None, temp=High",humidity=Dry
"{season=Winter, uhi=Neutral} → {precip=None, temp=Low}",0.13091090094574415,0.7746686303387335,3.0073609243488226,"season=Winter, uhi=Neutral","precip=None, temp=Low"
"{precip=None, uhi=Mild} → {season=Summer}",0.10104529616724739,0.7518518518518519,2.9851193090323527,"precip=None, uhi=Mild",season=Summer
{uhi=Strong} → {temp=High},0.08188153310104529,0.8308080808080807,2.862938995443283,uhi=Strong,temp=High
"{humidity=Dry, wind=Light} → {season=Summer}",0.09482329517172723,0.7042513863216266,2.796128527905431,"humidity=Dry, wind=Light",season=Summer
"{humidity=VeryHumid, season=Monsoon} → {temp=Medium, uhi=Neutral}",0.09780985564957691,0.6463815789473685,2.7483187134502924,"humidity=VeryHumid, season=Monsoon","temp=Medium, uhi=Neutral"
"{anomaly=AboveNormal, wind=Light} → {season=Summer}",0.08909905425584869,0.6897880539499036,2.738703953330744,"anomaly=AboveNormal, wind=Light",season=Summer
"{humidity=VeryHumid, temp=Medium} → {season=Monsoon}",0.11772025883524141,0.8874296435272044,2.6569987389659517,"humidity=VeryHumid, temp=Medium",season=Monsoon
"{anomaly=AboveNormal, precip=None} → {season=Summer}",0.09432553509208562,0.6672535211267606,2.6492338417858936,"anomaly=AboveNormal, precip=None",season=Summer
"{humidity=VeryHumid, temp=Medium, uhi=Neutral} → {season=Monsoon}",0.09780985564957691,0.8811659192825112,2.6382449058696946,"humidity=VeryHumid, temp=Medium, uhi=Neutral",season=Monsoon
{humidity=Dry} → {season=Summer},0.1368840219014435,0.6634499396863691,2.634132270414853,humidity=Dry,season=Summer
"{season=Post-Monsoon} → {precip=None, temp=Medium}",0.10228969636635142,0.6125186289120715,2.6209796069954243,season=Post-Monsoon,"precip=None, temp=Medium"
"{humidity=Dry, precip=None} → {season=Summer}",0.1172224987555998,0.6587412587412588,2.615437132037923,"humidity=Dry, precip=None",season=Summer
"{precip=None, temp=High} → {season=Summer}",0.08337481333997014,0.6542968750000001,2.5977913475790517,"precip=None, temp=High",season=Summer
"{humidity=Moderate, season=Winter, temp=Low} → {precip=None, solar=Medium}",0.08138377302140368,0.7299107142857142,2.597680469441984,"humidity=Moderate, season=Winter, temp=Low","precip=None, solar=Medium"
"{season=Monsoon, uhi=Mild} → {temp=High}",0.09084121453459433,0.7448979591836735,2.5668953687821614,"season=Monsoon, uhi=Mild",temp=High
{anomaly=AboveNormal} → {season=Summer},0.11996017919362867,0.6443850267379678,2.5584377840248567,anomaly=AboveNormal,season=Summer
"{humidity=Moderate, season=Winter} → {precip=None, solar=Medium}",0.08735689397710304,0.7177914110429449,2.554549060735653,"humidity=Moderate, season=Winter","precip=None, solar=Medium"
"{humidity=Moderate, temp=Low} → {precip=None, solar=Medium}",0.1012941762070682,0.716549295774648,2.550128494616949,"humidity=Moderate, temp=Low","precip=None, solar=Medium"
"{humidity=VeryHumid, solar=Medium} → {season=Monsoon}",0.08063713290194126,0.8350515463917525,2.5001766865887194,"humidity=VeryHumid, solar=Medium",season=Monsoon
"{anomaly=Normal, humidity=VeryHumid} → {season=Monsoon}",0.1012941762070682,0.8323108384458078,2.491970900801234,"anomaly=Normal, humidity=VeryHumid",season=Monsoon
"{uhi=Cooling} → {precip=None, solar=Medium}",0.10627177700348432,0.6988543371522095,2.4871538765966146,uhi=Cooling,"precip=None, solar=Medium"
"{humidity=Moderate, precip=None, solar=Medium} → {season=Winter}",0.08735689397710304,0.6041308089500861,2.4445091544425437,"humidity=Moderate, precip=None, solar=Medium",season=Winter
"{anomaly=Normal, humidity=VeryHumid, uhi=Neutral} → {season=Monsoon}",0.08511697361871579,0.8162291169451075,2.4438216034913873,"anomaly=Normal, humidity=VeryHumid, uhi=Neutral",season=Monsoon
"{season=Post-Monsoon} → {precip=None, solar=Medium}",0.11398705823792932,0.6825633383010432,2.4291758133689916,season=Post-Monsoon,"precip=None, solar=Medium"
{humidity=VeryHumid} → {season=Monsoon},0.15131906421105026,0.7896103896103895,2.3641241024251456,humidity=VeryHumid,season=Monsoon
"{uhi=Cooling} → {precip=None, temp=Low}",0.09208561473369836,0.6055646481178396,2.3508780252536035,uhi=Cooling,"precip=None, temp=Low"
"{precip=None, solar=Medium, wind=Light} → {temp=Low}",0.13115978098556497,0.7036048064085448,2.348076505107586,"precip=None, solar=Medium, wind=Light",temp=Low
"{humidity=Moderate, solar=Medium} → {precip=None, temp=Low}",0.1012941762070682,0.6047548291233283,2.3477342062005153,"humidity=Moderate, solar=Medium","precip=None, temp=Low"
"{precip=None, solar=Medium, uhi=Neutral, wind=Light} → {temp=Low}",0.0858636137381782,0.7026476578411406,2.3448823000047367,"precip=None, solar=Medium, uhi=Neutral, wind=Light",temp=Low
"{humidity=Moderate, precip=None, solar=Medium} → {temp=Low}",0.1012941762070682,0.7005163511187608,2.337769683384702,"humidity=Moderate, precip=None, solar=Medium",temp=Low
"{anomaly=Normal, solar=High, temp=High} → {season=Monsoon}",0.08461921353907417,0.7709750566893424,2.308329193575095,"anomaly=Normal, solar=High, temp=High",season=Monsoon
"{humidity=VeryHumid, wind=Light} → {season=Monsoon}",0.09109009457441514,0.7705263157894737,2.3069856459330147,"humidity=VeryHumid, wind=Light",season=Monsoon
"{anomaly=Normal, temp=High} → {season=Monsoon}",0.12767546042807368,0.7656716417910447,2.292450563872144,"anomaly=Normal, temp=High",season=Monsoon
"{humidity=VeryHumid, uhi=Neutral} → {season=Monsoon}",0.11597809855649577,0.758957654723127,2.2723486264363073,"humidity=VeryHumid, uhi=Neutral",season=Monsoon
"{precip=Light, temp=High} → {season=Monsoon}",0.08909905425584869,0.7552742616033756,2.26132040471115,"precip=Light, temp=High",season=Monsoon
"{precip=None, solar=Medium, uhi=Neutral} → {temp=Low}",0.10975609756097561,0.6743119266055047,2.250320034136975,"precip=None, solar=Medium, uhi=Neutral",temp=Low
"{temp=Low, wind=Light} → {precip=None, solar=Medium}",0.13115978098556497,0.6244075829383886,2.222205197738216,"temp=Low, wind=Light","precip=None, solar=Medium"
"{humidity=Dry, season=Summer} → {uhi=Mild}",0.08387257341961175,0.6127272727272728,2.219962291991147,"humidity=Dry, season=Summer",uhi=Mild
"{season=Winter, temp=Low, wind=Light} → {precip=None, solar=Medium}",0.10004977600796416,0.6194144838212635,2.2044352488873664,"season=Winter, temp=Low, wind=Light","precip=None, solar=Medium"
"{anomaly=Normal, uhi=Mild} → {temp=High}",0.0856147336983574,0.6358595194085028,2.1911522718553726,"anomaly=Normal, uhi=Mild",temp=High
"{temp=Low} → {precip=None, solar=Medium}",0.18442010950721752,0.6154485049833888,2.1903207201268877,temp=Low,"precip=None, solar=Medium"
"{precip=None, solar=Medium} → {temp=Low}",0.18442010950721752,0.6563330380868024,2.1903207201268873,"precip=None, solar=Medium",temp=Low
"{season=Winter, wind=Light} → {precip=None, solar=Medium}",0.10428073668491787,0.6143695014662757,2.186480652693973,"season=Winter, wind=Light","precip=None, solar=Medium"
"{humidity=Dry, season=Summer} → {temp=High}",0.08611249377799901,0.6290909090909091,2.1678278496803367,"humidity=Dry, season=Summer",temp=High
"{season=Winter, temp=Low} → {precip=None, solar=Medium}",0.141363862618218,0.6074866310160427,2.1619851934654206,"season=Winter, temp=Low","precip=None, solar=Medium"
"{anomaly=Normal, precip=None, solar=Medium} → {temp=Low}",0.08163265306122448,0.6456692913385826,2.154733565281084,"anomaly=Normal, precip=None, solar=Medium",temp=Low
"{humidity=VeryHumid, season=Monsoon, uhi=Neutral} → {temp=Medium}",0.09780985564957691,0.8433476394849786,2.1542090371587057,"humidity=VeryHumid, season=Monsoon, uhi=Neutral",temp=Medium
"{season=Winter} → {precip=None, solar=Medium}",0.14957690393230463,0.6052366565961732,2.153977755716053,season=Winter,"precip=None, solar=Medium"
"{solar=High, uhi=Mild} → {temp=High}",0.09258337481333997,0.6231155778894473,2.147237042847169,"solar=High, uhi=Mild",temp=High
"{anomaly=BelowNormal, precip=None} → {temp=Low}",0.09830761572921852,0.6340288924558588,2.115887117846878,"anomaly=BelowNormal, precip=None",temp=Low
{uhi=Cooling} → {temp=Low},0.09556993529118965,0.6284779050736498,2.0973623111178776,uhi=Cooling,temp=Low
"{precip=None, uhi=Cooling} → {temp=Low}",0.09208561473369836,0.6281833616298812,2.096379357997394,"precip=None, uhi=Cooling",temp=Low
"{precip=Light, solar=High} → {season=Monsoon}",0.0858636137381782,0.6997971602434078,2.0952198136050764,"precip=Light, solar=High",season=Monsoon
"{humidity=Moderate, solar=Medium} → {temp=Low}",0.10502737680438029,0.6270430906389302,2.0925740350392203,"humidity=Moderate, solar=Medium",temp=Low
"{anomaly=Normal, season=Monsoon, solar=High} → {temp=High}",0.08461921353907417,0.6039076376554174,2.0810470738417384,"anomaly=Normal, season=Monsoon, solar=High",temp=High
"{anomaly=Normal, precip=Light} → {season=Monsoon}",0.11249377799900448,0.6943164362519201,2.0788103136067173,"anomaly=Normal, precip=Light",season=Monsoon
"{season=Winter, wind=Light} → {precip=None, uhi=Neutral}",0.1055251368840219,0.6217008797653959,2.054271492514277,"season=Winter, wind=Light","precip=None, uhi=Neutral"
"{season=Winter, temp=Low, wind=Light} → {precip=None, uhi=Neutral}",0.10029865604778497,0.6209553158705701,2.0518079433946963,"season=Winter, temp=Low, wind=Light","precip=None, uhi=Neutral"
"{season=Monsoon, uhi=Neutral} → {temp=Medium}",0.11821801891488302,0.7916666666666667,2.0221974994702268,"season=Monsoon, uhi=Neutral",temp=Medium
"{anomaly=Normal, temp=Medium, uhi=Neutral} → {season=Monsoon}",0.08885017421602788,0.6710526315789475,2.009157580986744,"anomaly=Normal, temp=Medium, uhi=Neutral",season=Monsoon
